id,name,sort order,item type,properties,slots,level,effect,e value,fire,earth,water,wind,categories,equip size,character,HP,MP,ATK,DEF,SPD,Gather,Drop,Note,EN Name,EN Description,JA Name,JA Description
116,slag-fragment,44,Material,",",0,2,40,1,1,1,1,1,"slag-part,,,",,",,,,,,,,,,,",,,,,,"drifting-ghost-ship,,,,","mini-slag,,",,Slag Fragment,"A Slag's body part. It seems to be a piece from a soft area, and is squishy to the touch. It doesn't have any other particular features, and it's not very hard to find.",スラグの欠片,スラグの体の一部。軟体部分が何かの拍子に欠けたもので、手触りはぷにぷにとしている。これといって特徴はなく、珍しくもない
271,slag-cable,45,Material,"defense-5,",1,4,60,15,1,,1,,"slag-part,thread,,",,",,,,,,,,,,,",,,,,,"drifting-ghost-ship,,,,","mini-slag,,",,Slag Cable,"A Slag's body part. As its name suggests, it's long and thin, and seems to be used as something like a tail, but it's unknown what its function actually is.",スラグケーブル,スラグの体の一部。名前のとおり細長い形状で、主に尻尾のような役割を果たしているようだが、実際に機能しているのかはわからない
272,slag-antenna,46,Material,",",2,4,50,10,1,,,1,"slag-part,ancient-power,,",,",,,,,,,,,,,",,,,,,",,,,","guard,,",,Slag Antenna,"A Slag's body part. The shape differs slightly depending on type, but they all taper off into something resembling an antenna, hence its name.",スラグアンテナ,スラグの体の一部。形状は個体によって小さな差異があるが、共通してアンテナのように尖っているため、こう呼ばれている
273,slag-heart,47,Material,"defense-speed-enhance,",3,4,70,20,1,1,,,"slag-part,meat,,",,",,,,,,,,,,,",,,,,,",,,,","carrier,,",,Slag Heart,"A Slag's body part. While this is thought to be one of a Slag's internal organs, whether this is true or not is unknown. It can be eaten if cooked.",スラグハート,スラグの体の一部。スラグの内臓の一種と考えられているが、実際にそうであるかはわかっていない。焼けば食べることもできるらしい
274,slag-memory,48,Material,"reduce-mp-consump,",2,4,70,20,1,,1,,"slag-part,metal,,",,",,,,,,,,,,,",,,,,,",,,,","fakeruin,,",,Slag Memory,A Slag's body part. It's believed that this serves to store a Slag's memories. This is one of the hardest parts in a Slag.,スラグメモリー,スラグの体の一部。スラグの記憶を司ると考えられている機関。スラグの機関の中でも硬質な部類に入る
6,slag-scissors,49,Material,",",1,4,50,20,1,1,,,"slag-part,,,",,",,,,,,,,,,,",,,,,,"drifting-ghost-ship,,,,","colonia,,",,Slag Scissors,"A Slag's body part. These are mainly claw-like objects on their hands. Since it's split into two parts, it's often called 'scissors'.",スラグシザー,スラグの体の一部。主に手の先についた爪のような部分を指す。二股に分かれた形状からシザー（はさみ）と呼ばれるようになった
102,slag-blade,50,Material,"cause-poison,",1,4,80,20,1,,,1,"slag-part,feather,,",,",,,,,,,,,,,",,,,,,"drifting-ghost-ship,,,,","thief,,",,Slag Blade,A Slag's body part. A sharp part shaped much like a blade. It can be made into a saw or a simple knife.,スラグブレード,スラグの体の一部。刃のような形状をしている鋭利な部位。加工すればノコギリや簡単なナイフとして使える
103,slag-core,51,Material,"property-enhance,",3,8,80,20,1,,1,1,"slag-part,elixir,,",,",,,,,,,,,,,",,,,,,"drifting-ghost-ship,seat-of-eternity,,,","flat-fish,,",,Slag Core,"A Slag's body part. It is believed to be related to a Slag's power systems, but the details are unknown.",スラグコア,スラグの体の一部。スラグの動力と関係のある機関と考えられているが詳細はわかっていない
96,slag-coin,52,Material,"all-stats-enhance,",3,10,50,15,1,,,,"slag-part,antique,ancient-relic,",,",,,,,,,,,,,",,,,,,"drifting-ghost-ship,,,,",",,",,Slag Coin,"A coin that was once circulated around Stellard. It was once used as currency, but it is not common to see presently, and no longer has any value.",スラグ硬貨,過去にステラードで流通していた硬貨。通貨として利用されていたこともあるが、現在は一般的でなく、貨幣価値もないに等しい
90,slag-amber,53,Material,",",2,11,70,20,1,1,,,"slag-part,jewel,mystery,",,",,,,,,,,,,,",,,,,,"drifting-ghost-ship,geofront,,,",",,",,Slag Amber,"A Slag's body part that turned into amber. They sometimes contain flowers and other things inside, making them extremely desirable to historians for research.",スラグのこはく,スラグの体の一部がこはく化したもの。時おり周囲の草花などを巻き込んでこはく化したものもあり、歴史学者にとっては恰好の研究対象になる
275,mantis-blade,54,Material,"barrage-attack,",1,3,80,20,1,,,1,"animal,meat,,",,",,,,,,,,,,,",,,,,,",,,,","scissor-beast,ghost-sect,dry-blade",,Mantis Blade,"As its name suggests, this is the blade from a mantis. It's jagged like a saw, and careless handling may lead to injury.",カマキリの刃,名前のとおりカマキリの刃部分。ノコギリのようにギザギザとした手触りで、迂闊に触れるとケガをすることもある
100,boar-tusk,55,Material,",",2,5,80,20,,1,,1,"animal,medic-ing,,",,",,,,,,,,,,,",,,,,,"crystal-valley,,,,","boar,desert-boar,mountain-horn",,Boar Tusk,"The tusk of a boar. Its bent shape and sharp tip are unique. Since it's full of fats, it only has a few uses and is not suitable for manufacturing.",猪角,猪の角。歪曲した形状と尖った先端部分が特徴。脂ぎっているため、加工には向かず、用途は多くない
101,steel-fur,56,Material,",",1,8,70,20,,,1,1,"animal,thread,metal,",,",,,,,,,,,,,",,,,,,"geofront,,,,",",,",,Steel Fur,"Animal fur that's as hard as steel. It's so hard that you can even call them needles, and was only given this name due to being a fabric.",鋼毛,鋼のように硬い動物の毛。もはや針と言ってもいいほどの硬さを誇るが、繊維質であるためにこの名称が付けられた
276,unknown-egg,57,Material,",",1,1,50,10,,,,1,"oil,,,",,",,,,,,,,,,,",,,,,,"castle-of-mirages,woods-of-eternal-night,hidden-forest,,","butterfly-lizard,,",,Unknown Egg,"Nobody knows what will hatch from this mysterious egg. It has a very hard shell, and cannot be broken by ordinary means.",何かのタマゴ,何が生まれてくるのか誰にもわからない謎のタマゴ。強固な殻に守られており、一筋縄では割れそうもない
277,colseit-apple,58,Material,"effect-power-increase,",1,0,50,15,,,1,,"apple,fruit,aroma,",,",,,,,,,,,,,",,,,,,",,,,",",,",Escha's Shop,Colseit Apple,A seasonal apple picked from the orchards in Colseit. The people of Colseit are very familiar with the rich flavor and excellent balance of sweet and sour tastes.,コルセイトのリンゴ,コルセイトのリンゴ園で取れた旬のリンゴ。コルセイトの人々に長い間親しまれてきた味は、酸味と甘味がバランス良く混じりあった味わい深いもの
278,poison-apple,59,Material,"cause-poison,",3,2,30,25,1,,,,"apple,fruit,poison,",,",,,,,,,,,,,",,,,,,",,,,","alchemy-rat,,",,Poison Apple,The color of this poison apple is enough to warn you that it's bad to eat. It's said it evolved this way due to the Dusk.,毒リンゴ,見るからに体に悪そうな色をした毒のリンゴ。黄昏の影響でこのような進化を遂げたと言われる
279,golden-apple,60,Material,",",4,11,90,15,1,1,1,1,"apple,fruit,jewel,",,",,,,,,,,,,,",,,,,,"herb-garden,geofront,,,",",,",,Golden Apple,"Nobody knows where you can pick these shining golden apples. This rare fruit is occasionally dropped by birds, but nobody has ever seen one growing on a tree.",黄金のリンゴ,どこで取れるのか誰にもわからない黄金に輝くリンゴ。時おり鳥たちが運んでくる珍しい果物で木になっているところを見た人はいない
280,anti-bug-grass,61,Material,",",2,0,50,10,,,,1,"plant,smelly,,",,",,,,,,,,,,,",,,,,,"fertile-sea,fertile-sea-eastern-area,,,","poison-squirrel,grass-element,yellow-elemental",,Anti-Bug Grass,"Grass that secretes compounds that insects dislike. It's common to grow crops close to this to repel pests, and rubbing it on the body also has a pain relieving effect.",虫除け草,虫の嫌がる成分を分泌する草。作物の近くに植えて、虫除けとして使うが、身体にこすりつけると痛みが和らぐ薬効成分もある
7,dusk-sea-sand,62,Material,",",0,0,10,10,,1,,,"sand,,,",,",,,,,,,,,,,",,,,,,"fertile-sea,fertile-sea-eastern-area,fertile-sea-northern-area,land-of-fallen-stars,lush-valley",",,",,Dusk Sea Sand,"Sand taken from the Dusk Sea. The grain is very fine, and it gets inside everything. It also absorbs moisture very easily. Seeing how there's so much of it, it's absolutely worthless.",黄昏の海砂,黄昏の海で取れる砂。きめが細かく隙間という隙間に入り込んでくる。水分を吸収しやすい性質がある。大量にあるため価値は全くない
8,white-sand-powder,63,Material,"effect-stability,",2,4,50,10,,1,1,,"sand,,,",,",,,,,,,,,,,",,,,,,"sandy-shore,green-desert,cape-of-the-end,,","sand-rat,,",,White Sand Powder,"Pulverized coral, from a time when the ocean still existed. Its silky texture and beautiful pure white appearance makes bags of this a common gift item.",白砂パウダー,かつて海だった頃に砕けたサンゴが粉状になったもの。さらさらとした手触りと真っ白で美しい見た目から、袋に詰めて贈り物にされることも
